UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
203067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203085,2014-2016,0.45,0.28,0.45,0.28,0.25,0.38,N/A,N/A,N/A,N/A
203155,2016,0.32,0.17,0.21,0.08,0.05,0.15,0.2,0.19,0.18,0.23
203289,2014-2016,N/A,N/A,0.74,0.8,0.88,0.5,N/A,N/A,N/A,N/A
203313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203438,2014-2016,N/A,N/A,0.76,0.73,0.75,0.67,N/A,N/A,N/A,N/A
203447,2015-2016,0.12,0.09,0.12,0.09,0,0.16,N/A,N/A,N/A,N/A
203456,2015-2016,0.08,0.14,0.08,0.14,0.2,0,N/A,N/A,N/A,N/A
203465,2015-2016,0.27,0.1,0.27,0.1,0.09,0.12,N/A,N/A,N/A,N/A
203474,2015-2016,0.16,0.07,0.16,0.07,0.04,0.23,N/A,N/A,N/A,N/A
203483,2015-2016,0.17,0.1,0.17,0.1,0.17,0,N/A,N/A,N/A,N/A
203492,2014-2016,0.16,0,0.16,0,0,0,N/A,N/A,N/A,N/A
203526,2015-2016,0.21,0.12,0.21,0.12,0.07,0.43,N/A,N/A,N/A,N/A
203544,2014-2016,0.42,0.38,0.42,0.38,0.29,1,N/A,N/A,N/A,N/A
203580,2014-2016,0.48,0.23,0.48,0.23,0.2,0.47,N/A,N/A,N/A,N/A
203599,2016,0.29,0.24,0.13,0.05,0.04,0.09,0.31,0.39,0.43,0.19
203614,2016,N/A,N/A,0.95,1,1,N/A,N/A,N/A,N/A,N/A
203678,2014-2016,N/A,N/A,0.26,0.14,0.13,0.2,N/A,N/A,N/A,N/A
203720,2014-2016,N/A,N/A,0.56,0.48,0.38,0.67,N/A,N/A,N/A,N/A
203739,2014-2016,N/A,N/A,0.31,0.12,0.14,0,N/A,N/A,N/A,N/A
203748,2016,0.29,0.22,0.19,0.16,0.13,0.18,0.19,0.13,0.17,0.09
203775,2014-2016,0.54,0.31,0.54,0.31,0.3,0.35,N/A,N/A,N/A,N/A
203845,2014-2016,0.63,0.48,0.63,0.48,0.45,0.56,N/A,N/A,N/A,N/A
203881,2014-2016,N/A,N/A,0.14,0,0,0,N/A,N/A,N/A,N/A
203960,2014-2016,0.47,0.5,0.47,0.5,0.33,1,N/A,N/A,N/A,N/A
203997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204006,2014-2016,0.25,0.09,0.25,0.09,0.07,0.19,N/A,N/A,N/A,N/A
204015,2014-2016,0.18,0.06,0.18,0.06,0.03,0.18,N/A,N/A,N/A,N/A
204024,2016,0.78,0.71,0.78,0.71,0.72,0.69,N/A,N/A,N/A,N/A
204060,2014-2016,N/A,N/A,0.22,0.15,0.15,N/A,N/A,N/A,N/A,N/A
204121,2014-2016,0.63,0.67,0.6,0.64,0.64,N/A,0.06,0.07,0.07,N/A
204176,2014-2016,0.7,0.64,0.7,0.64,0.73,0.33,N/A,N/A,N/A,N/A
204185,2014-2016,0.61,0.37,0.61,0.37,0.35,0.46,N/A,N/A,N/A,N/A
204194,2014-2016,0.58,0.4,0.58,0.4,0.35,0.47,0.29,0.38,0.43,0.32
204200,2014-2016,0.52,0.42,0.52,0.42,0.4,0.54,N/A,N/A,N/A,N/A
204255,2014-2016,0.37,0.31,0.31,0.25,0.28,0,0.13,0.13,0.09,0.43
204264,2014-2016,0.53,0.34,0.53,0.34,0.28,0.56,N/A,N/A,N/A,N/A
204316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204422,2014-2016,0.22,0.18,0.15,0.11,0.08,0.19,0.14,0.15,0.14,0.19
204440,2014-2016,0.3,0.21,0.24,0.14,0.2,0.13,0.12,0.14,0,0.16
204459,2016,0.84,0.83,0.7,0.69,0.7,0.5,0.27,0.29,0.28,0.5
204468,2014-2016,0.36,0.23,0.36,0.23,0.2,0.39,N/A,N/A,N/A,N/A
204477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204486,2014-2016,0.34,0.13,0.34,0.13,0,0.3,0.17,0.35,0.23,0.5
204608,2014-2016,N/A,N/A,0.69,0.51,0.46,0.67,N/A,N/A,N/A,N/A
204617,2014-2016,0.42,0.25,0.42,0.25,0.24,0.31,0.26,0.38,0.39,0.28
